Query,Niche,Are niches similar,Title length (chars),H1,Is_question,Cosine similarity between search term and title,Word count,External links,Internal links,Backlinks,SERP position,Article link,DA,Readability
What is generative AI,AI and tech,AI and tech,22,What is generative AI?,TRUE,1,2453,4,4,6613,1,https://www.mckinsey.com/featured-insights/mckinsey-explainers/what-is-generative-ai,71,Fairly Hard
What is generative AI,AI and tech,AI and tech,38,What is GenAI? Generative AI explained,TRUE,0.7092972666,42249,13,20,7389,8,https://www.techtarget.com/searchenterpriseai/definition/generative-AI,90,Hard
What is generative AI,AI and tech,AI and tech,22,What is Generative AI?,TRUE,1,952,0,0,220,17,https://teaching.pitt.edu/resources/what-is-generative-ai,69,Very Easy
Best AI tools for writers,AI and tech,AI and tech,48,The 50 Best AI Tools for 2025 (Tried and Tested),FALSE,0.4109954639,14954,108,8,7707,3,https://www.synthesia.io/post/ai-tools,56,Fairly Hard
Best AI tools for writers,AI and tech,AI and tech,39,AI Writing Tools For Effortless Writing,FALSE,0.3171074666,1087,7,4,832,9,https://www.grammarly.com/ai/ai-writing-tools,90,Normal
Best AI tools for writers,AI and tech,Business and marketing,88,We tested the 7 best AI email writers: See our top picks for streamlining your marketing,FALSE,0.3226045087,5152,14,13,26,32,https://www.mailerlite.com/blog/best-ai-email-writers,53,Fairly Easy
Best AI tools for writers,AI and tech,Business and marketing,67,"9 of the Best AI Writing Tools and Assistants to Help You Work Smarter, Not Harder",TRUE,0.2202013872,3561,22,11,651,2,https://buffer.com/resources/ai-writing-tools/,69,Fairly Easy
Best AI tools for writers,AI and tech,Business and marketing,60,The 11 Best AI Writing Tools to Try in 2025 [Tried & Tested],FALSE,0.2496354941,6524,44,6,78,27,https://writesonic.com/blog/ai-writing-tools,58,Normal
Best AI tools for writers,AI and tech,Workflow automation,32,The 6 best AI writing generators,FALSE,0.2523342014,308,7,1,807,1,https://zapier.com/blog/best-ai-writing-generator/,80,Fairly Easy
How to use ChatGPT for research,AI and tech,Biomedical and life sciences,58,ChatGPT for Research and Publication: A Step-by-Step Guide,FALSE,0.2315705261,2912,22,12,20,2,https://pmc.ncbi.nlm.nih.gov/articles/PMC10731938/,100,Fairly Hard
How to use ChatGPT for research,AI and tech,AI and tech,78,"How to use ChatGPT to do research for papers, presentations, studies, and more",TRUE,0.6258188344,1767,14,0,219,13,https://www.zdnet.com/article/how-to-use-chatgpt-to-do-research-for-papers-presentations-studies-and-more/,75,Fairly Easy
How to use ChatGPT for research,AI and tech,Biomedical and life sciences,53,Using ChatGPT to assist with writing a research paper,TRUE,0.2798280652,352,7,0,4,3,https://www.medmastery.com/magazine/using-chatgpt-to-write-research-paper,43,Normal
How to use ChatGPT for research,AI and tech,Academic writing and editing support,51,How to Write a Paper with ChatGPT | Tips & Examples,TRUE,0.2798280652,3342,13,20,35,5,https://www.scribbr.com/ai-tools/chatgpt-research-paper/,85,Fairly Hard
Future of artificial intelligence,AI and tech,Tech and recruiting,67,The Future of AI: How Artificial Intelligence Will Change the World,TRUE,0.428569345,2412,30,0,4038,2,https://builtin.com/artificial-intelligence/artificial-intelligence-future,71,Fairly Hard
